0,CombatZoneResize,233,251,408,391,TLResume,,
0,HeartTeleport,321,321,,,,,
0,TLPause,,,,,,,
0,SET,Loop,1,,,,,
0,:RndAttack,,,,,,,
0,JMPZ,End,$Loop,,,,,
0,SUB,Loop,$Loop,1,,,,
0,RND,Jump,2,,,,,
0,ADD,Jump,$Jump,1,,,,
0,JMPREL,$Jump,,,,,,
0,JMPABS,Attack0,,,,,,
0,JMPABS,Attack1,,,,,,
0,:Attack0,,,,,,,
0,SansSlam,1,,,,,,
0.5,BoneVRepeat,128,374,15,0,450,8,233
0,BoneVRepeat,503,374,15,2,450,8,233
0,BoneStab,3,105,0,4.5,,,
4.5,JMPABS,RndAttack,,,,,,
0,:Attack1,,,,,,,
0,SansSlam,3,,,,,,
0.5,BoneVRepeat,128,251,15,0,450,8,233
0,BoneVRepeat,503,251,15,2,450,8,233
0,BoneStab,1,105,0,4.5,,,
4.5,JMPABS,RndAttack,,,,,,
0,:End,,,,,,,
0,EndAttack,,,,,,,
